Sequence,Domain,Family,Species
Collinsella aerofaciens JCM 10188 Collinsella aerofaciens ATCC 25986 draft (25 frags),BacteriaFamilies,Coriobacteriaceae,Collinsella aerofaciens
Coprobacillus sp. 29_1 draft (80 frags),BacteriaFamilies,Erysipelotrichaceae,Coprobacillus cateniformis
Coprobacillus sp. 29_1 draft (80 frags),BacteriaFamilies,Erysipelotrichaceae,Coprobacillus cateniformis
Coprobacillus sp. 8_2_54BFAA draft (21 frags),BacteriaFamilies,Erysipelotrichaceae,Coprobacillus sp. 8_2_54BFAA
Coprobacillus sp. 8_2_54BFAA draft (21 frags),BacteriaFamilies,Erysipelotrichaceae,Coprobacillus sp. 8_2_54BFAA
Coprobacter fastidiosus NSB1 draft (95 frags),BacteriaFamilies,Porphyromonadaceae,Coprobacter fastidiosus
Coprococcus eutactus ATCC 27759 draft (32 frags),BacteriaFamilies,Lachnospiraceae,Coprococcus eutactus
Coprococcus eutactus ATCC 27759 draft (32 frags),BacteriaFamilies,Lachnospiraceae,Coprococcus eutactus
Corynebacterium accolens ATCC 49726 draft (165 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium accolens
Corynebacterium accolens ATCC 49726 draft (165 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium accolens
Corynebacterium argentoratense DSM 44202,BacteriaFamilies,Corynebacteriaceae,Corynebacterium argentoratense
Corynebacterium aurimucosum ATCC 700975 draft (101 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium aurimucosum
Corynebacterium aurimucosum ATCC 700975 chromosome,BacteriaFamilies,Corynebacteriaceae,Corynebacterium aurimucosum
Corynebacterium aurimucosum ATCC 700975 draft (101 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium aurimucosum
Corynebacterium jeikeium strain Cj37130 draft (30 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium jeikeium
Corynebacterium pseudogenitalium ATCC 33035 draft (16 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium pseudogenitalium
Corynebacterium pseudogenitalium ATCC 33035 draft (16 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium pseudogenitalium
Corynebacterium sp. KPL1817 draft (15 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium sp. KPL1817
Corynebacterium sp. KPL1855 draft (37 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium sp. KPL1855
Corynebacterium sp. KPL1856 draft (13 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium sp. KPL1856
Corynebacterium sp. KPL1986 draft (3 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium sp. KPL1986
Corynebacterium striatum ATCC 6940 draft (176 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium striatum
Corynebacterium striatum ATCC 6940 draft (176 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium striatum
Corynebacterium tuberculostearicum SK141 draft (37 frags),BacteriaFamilies,Corynebacteriaceae,Corynebacterium tuberculostearicum
Cronobacter dublinensis 1210 draft (221 frags),BacteriaFamilies,Enterobacteriaceae,Cronobacter dublinensis
Cronobacter malonaticus 507 draft (249 frags),BacteriaFamilies,Enterobacteriaceae,Cronobacter malonaticus
Cronobacter sakazakii ES15 chromosome,BacteriaFamilies,Enterobacteriaceae,Cronobacter sakazakii
Cronobacter sakazakii Sp291,BacteriaFamilies,Enterobacteriaceae,Cronobacter sakazakii
Cronobacter sakazakii 2151 draft (60 frags),BacteriaFamilies,Enterobacteriaceae,Cronobacter sakazakii
Cronobacter sakazakii ES35 draft (183 frags),BacteriaFamilies,Enterobacteriaceae,Cronobacter sakazakii
Cucumber green mottle mosaic virus,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Cucumber green mottle mosaic virus isolate KOM,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Cucumber green mottle mosaic virus,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Cucumber green mottle mosaic virus isolate JSHZ12,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Cucumber green mottle mosaic virus isolate CGMMV-chb,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Cucumber green mottle mosaic virus isolate SD Luffa,ViralFamilies,Virgaviridae,Cucumber green mottle mosaic virus
Propionibacterium acnes HL096PA3 draft (38 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL067PA1 draft (54 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL005PA2 draft (35 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL027PA2 draft (42 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL020PA1 draft (33 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL007PA1 draft (38 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL103PA1 draft (14 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL005PA4 draft (34 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL072PA1 draft (34 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL053PA2 draft (39 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL086PA1 draft (30 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL036PA1 draft (21 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL056PA1 draft (46 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL110PA3 draft (89 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL027PA1 draft (100 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL037PA3 draft (69 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes HL059PA2 draft (23 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes TypeIA2 P.acn33 chromosome,BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes strain ATCC 6919 draft (260 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes strain HL411PA1 draft (55 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium acnes hdn-1,BacteriaFamilies,Propionibacteriaceae,Cutibacterium acnes
Propionibacterium avidum ATCC 25577 draft (24 frags),BacteriaFamilies,Propionibacteriaceae,Cutibacterium avidum
Propionibacterium avidum 44067,BacteriaFamilies,Propionibacteriaceae,Cutibacterium avidum
Desulfovibrio piger ATCC 29098 draft (127 frags),BacteriaFamilies,Desulfovibrionaceae,Desulfovibrio piger
Desulfovibrio piger ATCC 29098 draft (127 frags),BacteriaFamilies,Desulfovibrionaceae,Desulfovibrio piger
Dialister succinatiphilus YIT 11850 draft (98 frags),BacteriaFamilies,Veillonellaceae,Dialister succinatiphilus
Dialister succinatiphilus YIT 11850 draft (98 frags),BacteriaFamilies,Veillonellaceae,Dialister succinatiphilus
Dickeya dadantii 3937 chromosome,BacteriaFamilies,Enterobacteriaceae,Dickeya dadantii
Dickeya dadantii Ech586 chromosome,BacteriaFamilies,Enterobacteriaceae,Dickeya dadantii
Dickeya solani MK10 draft (41 frags),BacteriaFamilies,Enterobacteriaceae,Dickeya solani
Dickeya solani RNS 08.23.3.1.A draft (11 frags),BacteriaFamilies,Enterobacteriaceae,Dickeya solani
Dickeya zeae Ech1591 chromosome,BacteriaFamilies,Enterobacteriaceae,Dickeya zeae
Dickeya zeae NCPPB 2538 draft (46 frags),BacteriaFamilies,Enterobacteriaceae,Dickeya zeae
Dorea longicatena CCUG 45247 Dorea longicatena DSM 13814 draft (52 frags),BacteriaFamilies,Lachnospiraceae,Dorea longicatena
Dorea longicatena CCUG 45247 Dorea longicatena DSM 13814 draft (52 frags),BacteriaFamilies,Lachnospiraceae,Dorea longicatena
Edwardsiella hoshinae NBRC 105699 = ATCC 33379 draft (110 frags),BacteriaFamilies,Enterobacteriaceae,Edwardsiella hoshinae
Edwardsiella ictaluri 93-146 chromosome,BacteriaFamilies,Enterobacteriaceae,Edwardsiella ictaluri
Edwardsiella piscicida strain JF1305 draft (72 frags),BacteriaFamilies,Enterobacteriaceae,Edwardsiella piscicida
Edwardsiella tarda EIB202 chromosome,BacteriaFamilies,Enterobacteriaceae,Edwardsiella tarda
Edwardsiella tarda FL6-60 chromosome,BacteriaFamilies,Enterobacteriaceae,Edwardsiella tarda
Edwardsiella tarda 080813 plasmid 2 ,BacteriaFamilies,Enterobacteriaceae,Edwardsiella tarda
Eggerthella sp. YY7918,BacteriaFamilies,Coriobacteriaceae,Eggerthella sp. YY7918
Endophytic bacterium LOB-07 plasmid pLK39 ,Bacteria_noFamily,Bacteria_unknownfamily,endophytic bacterium LOB-07
Enterobacter cancerogenus YZ1 draft (11 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cancerogenus
Enterobacter cloacae subsp. cloacae ATCC 13047 chromosome,BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae MR2 draft (230 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae UCI 23 draft (15 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae UCI 36 draft (17 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae UCI 50 draft (12 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae MGH 54 draft (24 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae UCI 29 draft (23 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae subsp. cloacae SY-70 draft (184 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae ECR091 plasmid pENT-4bd ,BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter cloacae ECNIH3,BacteriaFamilies,Enterobacteriaceae,Enterobacter cloacae
Enterobacter sp. MGH 13 draft (25 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter hormaechei
Enterobacter mori LMG 25706 draft (139 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter mori
Enterobacter mori LMG 25706 draft (139 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter mori
Enterobacter sp. MGH 34 draft (8 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter roggenkampii MGH 34
Enterobacter sp. BIDMC 27 draft (9 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. BIDMC 27
Enterobacter sp. BIDMC 28 draft (16 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. BIDMC 28
Enterobacter sp. EGD-HP1 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. EGD-HP1
Enterobacter sp. MGH 11 draft (24 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 11
Enterobacter sp. MGH 16 draft (7 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 16
Enterobacter sp. MGH 33 draft (15 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 33
Enterobacter sp. MGH 4 draft (20 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 4
Enterobacter sp. MGH 6 draft (23 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 6
Enterobacter sp. MGH 7 draft (26 frags),BacteriaFamilies,Enterobacteriaceae,Enterobacter sp. MGH 7
Enterobacteria phage fiAA91-ss,ViralFamilies,Myoviridae,Enterobacteria phage fiAA91-ss
Enterobacteria phage YYZ-2008 complete prophage genome,Viral_noFamily,unclassified phages_unknownfamily,Enterobacteria phage YYZ-2008
Clostridium asparagiforme DSM 15981 draft (640 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster asparagiformis
Clostridium asparagiforme DSM 15981 draft (640 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster asparagiformis
Clostridium bolteae ATCC BAA-613 draft (78 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster bolteae
Clostridium bolteae ATCC BAA-613 draft (78 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster bolteae
Clostridium clostridioforme 90A1 draft (47 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster clostridioformis
Clostridium clostridioforme 90A7 draft (35 frags),BacteriaFamilies,Lachnospiraceae,Enterocloster clostridioformis
Enterococcus avium ATCC 14025 draft (13 frags),BacteriaFamilies,Enterococcaceae,Enterococcus avium
Enterococcus casseliflavus ATCC 12755 draft (58 frags),BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus casseliflavus EC20,BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus flavescens ATCC 49996 draft (33 frags),BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus flavescens ATCC 49996 draft (9 frags),BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus casseliflavus ATCC 12755 draft (58 frags),BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus casseliflavus EC20,BacteriaFamilies,Enterococcaceae,Enterococcus casseliflavus
Enterococcus faecalis TUSoD Ef11 draft (11 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis DAPTO 512 draft (87 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis HIP11704 draft (143 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX0855 draft (93 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX0635 draft (97 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX0411 draft (113 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX0860 draft (88 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX4248 draft (112 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ATCC 29200 draft (123 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX1322 draft (116 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX1302 draft (66 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX0031 draft (60 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX4000 draft (77 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ERV116 draft (81 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ERV73 draft (251 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ERV72 draft (134 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis TX1467 draft (220 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis OG1RF chromosome,BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis DS5 plasmid pAMalpha1 ,BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 7330245-2 draft (30 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 7330259-5 draft (25 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 7330112-3 draft (39 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 2924 draft (21 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 2630V05 draft (30 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B3336 draft (34 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B3053 draft (39 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2949 draft (32 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2670 draft (60 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2488 draft (25 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2255 draft (32 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B4018 draft (45 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B3119 draft (58 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2867 draft (60 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2813 draft (47 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2685 draft (52 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B2211 draft (53 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B1851 draft (33 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B1734 draft (49 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B1678 draft (59 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 7330257-1 draft (20 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SF6375 draft (45 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 5952 draft (24 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ATCC 29200 draft (28 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis MMH594 draft (39 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis Com 2 draft (18 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SF26630 draft (27 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecium UAA946 Enterococcus faecalis EnGen0253 draft (54 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis UAA906 draft (16 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis UAA769 draft (24 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B939 draft (48 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis 79-3 draft (19 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis ATCC 27275 draft (22 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis T21 draft (13 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis Pan7 draft (12 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis RM4679 draft (29 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis V587 draft (48 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SS-6 draft (16 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis UAA905 draft (19 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis HEF39 draft (34 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis B4568 draft (39 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SF5039 draft (28 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SF350 draft (49 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis SLO2C-1 draft (56 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis VC1B-1 draft (83 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
Enterococcus faecalis RP2S-4 draft (109 frags),BacteriaFamilies,Enterococcaceae,Enterococcus faecalis
