Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Bacteroides uniformis ATCC 8492 draft (49 frags)	DETECTED	DETECTED	DETECTED	Secondary	Secondary	Secondary	DETECTED	DETECTED	DETECTED	Secondary	Secondary	Secondary
Tobacco mosaic virus isolate Fengjie-1					Secondary							
Escherichia coli O119:H4 str. 03-3458 draft (83 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae FSL F2-343 draft (17 frags)												
Enterococcus faecium Aus0004 chromosome												
Enterococcus faecalis B3053 draft (39 frags)												
Escherichia coli KTE113 draft (87 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Blautia hydrogenotrophica DSM 10507 draft (233 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli 2-222-05_S1_C3 draft (104 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain S5274 draft (283 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides sp. 2_2_4 draft (204 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Gardnerella vaginalis 1400E draft (28 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli O111:H11 str. CVM9534 draft (559 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWHPSA022 draft (24 frags)												
Bifidobacterium animalis subsp. animalis strain LMG 10508 draft (13 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Haemophilus paraphrohaemolyticus HK411 draft (78 frags)				Secondary						Secondary		
Enterococcus faecalis B312 draft (9 frags)												
Streptococcus agalactiae STIR-CD-01 draft (42 frags)												
Escherichia coli 597 draft (202 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae VAKPC254 draft (175 frags)												
Gardnerella vaginalis JCP7276 draft (179 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli HM27 draft (285 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA40183 draft (9 frags)												
Streptococcus pneumoniae GA47360 draft (16 frags)												
Escherichia coli ECA-727 draft (539 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B4568 draft (39 frags)												
Escherichia coli KTE56 draft (40 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA47388 draft (7 frags)												
Escherichia coli P0305260.12 draft (124 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Campylobacter hominis ATCC BAA-381 plasmid pCH4 												
Escherichia coli ETEC H10407 plasmid p52 		Secondary						Secondary				
Bifidobacterium longum subsp. longum EK5 draft (28 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli HVH 16 (4-7649002) draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Eubacterium hadrum DSM 3319 Anaerostipes hadrus DSM 3319 draft (102 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Streptococcus suis YS14 draft (45 frags)												Secondary
Pseudomonas mendocina strain S13.2 draft (7 frags)												
Escherichia coli KTE64 draft (103 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus iniae 9117 draft (3 frags)				Secondary		Secondary				Secondary		Secondary
Staphylococcus epidermidis MC16 draft (421 frags)												
Lactobacillus casei strain Lbs2 draft (443 frags)												
Enterococcus faecalis B1851 draft (33 frags)												
Escherichia coli 3-073-06_S3_C1 draft (223 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B1734 draft (49 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 draft (149 frags)												
Enterobacter cloacae ECR091 plasmid pENT-4bd 												
Lactobacillus crispatus MV-1A-US draft (140 frags)												
Escherichia coli KTE6 draft (27 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain E455 draft (6 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Clostridium asparagiforme DSM 15981 draft (640 frags)		Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	DETECTED	Secondary
Escherichia coli 99.0815 draft (297 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lachnospiraceae bacterium VE202-12 draft (502 frags)	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli C341_10 draft (389 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium R501 draft (313 frags)												
Shigella flexneri 2a str. 2457T				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-011-08_S3_C1 draft (169 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus thermophilus 2783 plasmid pt38 												
Clostridium hiranonis DSM 13275 draft (101 frags)												
Bifidobacterium gallicum DSM 20093 draft (27 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli KOEGE 7 (16a) draft (49 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Bacteroides coprosuis DSM 18011 chromosome	Secondary	Secondary					Secondary	Secondary			Secondary	
Escherichia coli O111:NM str. 2010C-4221 draft (203 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 1827-70 draft (35 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli str. K12 substr. MG1655 Escherichia coli str. K-12 substr. MG1655 strain K-12 draft (129 frags)				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
"Saccharomyces cerevisiae S288c, combined chrs"												
Staphylococcus lugdunensis VCU148 draft (56 frags)												
Streptococcus phage DT1												
Klebsiella pneumoniae BIDMC 52 draft (19 frags)											Secondary	
Megasphaera sp. BV3C16-1 draft (62 frags)												
Enterobacter cloacae UCI 23 draft (15 frags)												
Streptococcus agalactiae GB00911 draft (25 frags)												
Pasteurella multocida subsp. multocida P1062 draft (5 frags)										Secondary		
Pasteurella multocida 36950 chromosome												
Bifidobacterium magnum strain LMG 11591 draft (13 frags)				DETECTED	Secondary	DETECTED				DETECTED	Secondary	Secondary
Escherichia coli P0304777.10 draft (141 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. 2011EL-2103 draft (198 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE195 draft (69 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus isolate GXC060821												
Streptococcus oralis SK10 draft (39 frags)						Secondary				Secondary		Secondary
Lactobacillus reuteri strain TMW1.112 draft (48 frags)												
Lachnospira multipara MC2003 draft (31 frags)						Secondary						
Escherichia coli 2770900 draft (145 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus massiliensis DSM 18628 draft (87 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus salivarius PS4 draft (56 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Actinomyces sp. oral taxon 448 str. F0400 draft (69 frags)												
Enterococcus faecium 1 230 933 draft (304 frags)												
Escherichia coli P0302308.11 draft (141 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU036 draft (68 frags)												
Escherichia coli ETEC 1392/75 plasmid p557 					Secondary	Secondary				Secondary	Secondary	Secondary
Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-04 												
Streptococcus agalactiae CCUG 30636 draft (22 frags)												
Tobacco mosaic virus isolate Xiongfan-1					Secondary							
Lactobacillus gasseri JV-V03 draft (10 frags)												
Erysipelotrichaceae bacterium AP9 Candidatus Stoquefichus massiliensis AP9 draft (166 frags)										Secondary		Secondary
Klebsiella pneumoniae MGH 17 draft (35 frags)												
Clostridiales bacterium VE202-06 draft (327 frags)		Secondary						Secondary				
Escherichia coli 96.154 draft (3 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-052-05_S4_C2 draft (105 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus aureus subsp. aureus IS-K draft (57 frags)												
Pepino mosaic virus isolate VFTX12-19	Secondary											
Escherichia coli 53638 draft (2 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 2722950 draft (157 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa M8A.1 draft (18 frags)												
Enterococcus faecium E1321 draft (52 frags)												
Klebsiella pneumoniae CHS 18 draft (25 frags)												
Enterococcus faecalis DS5 plasmid pAMalpha1 												
Streptococcus pyogenes ABC020014690 draft (7 frags)												
Escherichia coli MS 145-7 draft (143 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Avibacterium paragallinarum JF4211 draft (34 frags)												
Klebsiella pneumoniae plasmid pKpQIL 												
Enterococcus flavescens ATCC 49996 draft (9 frags)												
Pediococcus acidilactici DSM 20284 draft (12 frags)												
Escherichia coli DEC2E draft (77 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 97.0264 draft (133 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis YS17-2 Streptococcus suis YS17 draft (67 frags)												Secondary
Streptococcus suis YS24 draft (59 frags)						Secondary				Secondary		Secondary
Escherichia coli DEC8E draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus sobrinus DSM 20742 = ATCC 33478 strain DSM 20742 draft (55 frags)												
Streptococcus pneumoniae CCRI 1974M2 draft (130 frags)												
Escherichia coli BCE002_MS12 draft (97 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-210-07_S1_C3 draft (169 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Methanobrevibacter smithii TS146C draft (102 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Bifidobacterium thermophilum RBL67				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Atopobium vaginae DSM 15829 draft (52 frags)												
Human papillomavirus type 6 complete genome isolate 25												
Bibersteinia trehalosi USDA-ARS-USMARC-188												
Streptococcus agalactiae GB00241 draft (20 frags)												
Streptococcus agalactiae 1005B Streptococcus agalactiae str. Gottschalk 1005B draft (60 frags)												
Enterococcus faecium NEF1 draft (47 frags)												
Escherichia coli 909957 draft (261 frags)												
Klebsiella pneumoniae plasmid pKF3-140 					Secondary	Secondary				Secondary	Secondary	Secondary
Enterococcus faecium 109 A1 draft (35 frags)												
Escherichia coli O118:H16 str. 07-4255 draft (14 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae SPN061370 draft (37 frags)												
Haemophilus sp. oral taxon 851 str. F0397 draft (37 frags)				Secondary						Secondary		
Streptococcus oralis strain SK141 draft (11 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli B85 draft (128 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 136 (4-5970458) draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain E. coli draft (212 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli FAH1 draft (236 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa JD313 draft (2296 frags)												
Streptococcus mutans OMZ175 draft (130 frags)												
Prevotella albensis DSM 11370 draft (48 frags)												
Escherichia coli E24377A plasmid pETEC_35 					Secondary						Secondary	Secondary
Pseudomonas aeruginosa PA7 chromosome												
Escherichia coli O104:H4 str. 11-4632 C5 draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
GB virus C isolate Hu_5												
Atopobium sp. oral taxon 810 str. F0209 draft (69 frags)												
Bacteroides dorei isolate HS1_L_1_B_010	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli CFT073 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 100 (4-2850729) draft (32 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp5 												
Lactococcus lactis subsp. lactis KLDS 4.0325												
Escherichia coli P0305260.8 draft (126 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes strain ATCC 6919 draft (260 frags)												
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 chromosome												
Escherichia coli O157:H7 str. 06-4039 draft (177 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Uncultured eubacterium plasmid pIE1130 												
Escherichia coli DEC1C draft (81 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli BIDMC 64 draft (19 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BL15 draft (22 frags)												
Peptoniphilus duerdenii ATCC BAA-1640 draft (61 frags)												
Escherichia coli MC23 draft (282 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus sp. HSISS1 draft (41 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterococcus faecalis TX0635 draft (97 frags)												
Enterobacter sp. MGH 33 draft (15 frags)												
Bacteroides fragilis str. 2-F-2# 5 Bacteroides fragilis str. 2-F-2 #5 draft (250 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Porphyromonas uenonis 60-3 draft (250 frags)												
Lactobacillus paracasei N1115 plasmid 												
Enterococcus faecalis HEF39 draft (34 frags)												
Escherichia coli 3-105-05_S3_C1 draft (182 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli UMEA 3178-1 draft (57 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O111:H- str. 11128 plasmid pO111_3 					Secondary					Secondary	Secondary	Secondary
Enterococcus faecalis T21 draft (13 frags)												
Serratia fonticola UTAD54 draft (133 frags)												
Prevotella oris F0302 draft (87 frags)												
Prevotella melaninogenica ATCC 25845 chromosome II 												
Enterococcus faecalis BM4654 draft (34 frags)												
Escherichia coli P0298942.1 draft (68 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae 2082239 draft (24 frags)												
Escherichia coli O26:H11 str. CFSAN001629 draft (259 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 10.0869 draft (419 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella disiens FB035-09AN draft (78 frags)												
Lactobacillus fermentum MTCC 8711 plasmid pLF07 												
Escherichia coli KD2 draft (264 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus cristatus ATCC 51100 draft (31 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Actinobacillus capsulatus DSM 19761 draft (49 frags)												
Escherichia coli 042				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL053PA2 draft (39 frags)												
Escherichia coli KTE210 draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus reuteri JCM 1112												
Escherichia coli plasmid pO26-Vir 											Secondary	
Escherichia coli O111:NM str. 2010C-4799 draft (175 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella sp. ICM33 draft (110 frags)												
Enterococcus faecalis B316 draft (12 frags)												
Enterobacter sp. BIDMC 27 draft (9 frags)												
Staphylococcus epidermidis MC28 draft (362 frags)												
Haemophilus sp. HK 2154 Haemophilus sputorum HK 2154 draft (25 frags)				Secondary						Secondary		
Pepino mosaic virus TGBp1 TGBp2 and TGBp3 genes genomic RNA strain US2 isolate Mu 04.12US	Secondary											
Streptococcus pyogenes ABC020052898 draft (2 frags)												
Streptococcus agalactiae GB00279 draft (27 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 draft (137 frags)												
Streptococcus pneumoniae GA13224 draft (19 frags)												
Bacteroides fragilis YCH46 chromosome	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Tobacco mosaic virus isolate Huidong					Secondary							
Enterococcus faecium E1679 draft (340 frags)												
Enterococcus faecium E4453 draft (374 frags)												
Escherichia coli H736 draft (135 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B2211 draft (53 frags)												
Streptococcus pneumoniae CGSP14 chromosome												
Human papillomavirus type 6 complete genome isolate 63												
Bacteroides sp. D20 draft (62 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli C213_10 draft (134 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli KOEGE 43 (105a) draft (40 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis 92-4172 draft (102 frags)						Secondary				Secondary		Secondary
Streptococcus pneumoniae GA41538 draft (14 frags)												
Streptococcus mutans UA159 chromosome												
Escherichia coli KTE51 draft (108 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis SF5039 draft (28 frags)												
Pseudomonas aeruginosa JCM 5962 draft (1198 frags)												
Actinomyces odontolyticus F0309 draft (97 frags)												
Escherichia coli str. K12 substr. MG1655 Escherichia coli str. K-12 substr. MG1655 strain K-12				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli APEC O78				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Lactobacillus vini JP7.8.9 draft (837 frags)												
Finegoldia magna ATCC 53516 chromosome												
Alistipes putredinis DSM 17216 draft (20 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	DETECTED	Secondary	Secondary	Secondary	Secondary
Escherichia coli 1-392-07_S3_C2 draft (216 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides nordii CL02T12C05 draft (35 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Gardnerella vaginalis 41V draft (76 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterobacteria phage YYZ-2008 complete prophage genome												
Lactococcus lactis subsp. cremoris GE214 draft (243 frags)												
Enterococcus faecalis 20.SD.W.06 draft (98 frags)												
Streptococcus sobrinus TCI-363 draft (356 frags)												
Mannheimia haemolytica D38 draft (97 frags)												
Enterococcus faecium UAA430 draft (38 frags)												
Klebsiella pneumoniae T69 draft (234 frags)												
Enterococcus casseliflavus ATCC 12755 draft (58 frags)												
"Eremothecium coryli CBS 5749, combined chrs"												
Enterobacter cloacae UCI 29 draft (23 frags)											Secondary	
Escherichia coli HVH 142 (4-5627451) draft (58 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas taeanensis MS-3 draft (19 frags)												
Prevotella sp. oral taxon 473 str. F0040 draft (90 frags)												
Streptococcus agalactiae BSU108 draft (24 frags)												
Bacteroides fragilis str. B1 (UDC16-1) draft (311 frags)	Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary	Secondary	Secondary	
Enterococcus faecium UC7256 draft (143 frags)												
Human papillomavirus type 6 complete genome isolate 110												
Gallibacterium anatis UMN179 chromosome										Secondary		
Prevotella baroniae JCM 13447 draft (94 frags)												
Escherichia coli ARS4.2123 draft (245 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 99.1793 draft (185 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia amylovora ATCC 49946 chromosome												
Chicken anemia virus isolate GD-1-12												
Varibaculum cambriense DSM 15806 draft (10 frags)												
Escherichia coli O104:H4 str. Ec11-5604 draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella dysenteriae Sd197				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae MRI Z1-216 draft (86 frags)												
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 plasmid from Sanger on Jun 25 2008 5:42PM												
Enterococcus faecalis B1678 draft (59 frags)												
Prevotella histicola JCM 15637 = DNF00424 strain JCM 15637 draft (55 frags)												
Propionibacterium sp. KPL2005 draft (8 frags)												
Clostridium symbiosum WAL-14163 draft (142 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-107 draft (283 frags)												
Burkholderiales bacterium 1_1_47 draft (96 frags)				DETECTED						DETECTED	DETECTED	
Escherichia coli O26:H- plasmid pO26-CRL 											Secondary	
Pseudomonas aeruginosa BL08 draft (31 frags)												
Lactobacillus reuteri strain LTH5448 draft (36 frags)												
Bifidobacterium thermophilum strain JCM 1207 draft (12 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWHPSA041 draft (28 frags)												
Shigella flexneri 2002007 draft (274 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus rhamnosus CRL1505 draft (218 frags)												
Streptococcus pneumoniae NP070 draft (10 frags)												
Streptococcus agalactiae strain GBS6												
Lactobacillus reuteri TD1												
Escherichia coli UMEA 3426-1 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erysipelotrichaceae bacterium 3_1_53 draft (163 frags)												
Escherichia coli O26:H1 str. 2010EL-1699 Escherichia coli O26:H11 str. 2010EL-1699 draft (262 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus garvieae NBRC 100934 draft (56 frags)												
Escherichia coli HVH 148 (4-3192490) draft (75 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas sp. P818 draft (33 frags)												
Escherichia coli TW14425 draft (155 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus brevis plasmid pLB925A03 												
Propionibacterium acnes hdn-1												
Escherichia coli O15:H18 str. K1516 draft (160 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium 509 draft (313 frags)												
Lactobacillus rhamnosus strain 24 draft (90 frags)												
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 plasmid pSL476_91 												
Pseudomonas aeruginosa BWH036 draft (66 frags)												
Escherichia coli O25b:H4-ST131 str. EC958 plasmid pEC958B 												
Propionibacterium avidum ATCC 25577 draft (24 frags)												
Eubacterium sp. 3_1_31 draft (6 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus pneumoniae 4027-06 draft (7 frags)												
Escherichia coli MS 21-1 draft (540 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae BS457 draft (97 frags)												
Streptococcus mutans NMT4863 draft (97 frags)												
Mannheimia haemolytica USDA-ARS-SAM-185												
Escherichia coli 6-175-07_S3_C1 draft (106 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. 2011EL-2105 draft (198 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus casei BD-II chromosome												
Streptococcus pyogenes ABC020040643 draft (7 frags)												
Propionibacterium avidum 44067												
Bifidobacterium longum DJO10A draft (120 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Lactobacillus salivarius GJ-24 draft (11 frags)												
Cronobacter sakazakii 2151 draft (60 frags)											Secondary	
Escherichia coli 2720900 draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 85 (4-0792144) draft (24 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae GB00264 draft (32 frags)												
Human papillomavirus type 6 complete genome isolate 53												
Mannheimia haemolytica serotype A2 str. OVINE draft (144 frags)												
Streptococcus salivarius JIM8777				Secondary	Secondary	Secondary				Secondary	DETECTED	Secondary
Prevotella oulorum JCM 14966 draft (138 frags)												
Clostridium butyricum 5521 draft (123 frags)												
Cucumber green mottle mosaic virus isolate SD Luffa												
Escherichia coli 2-427-07_S4_C1 draft (194 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli APEC O1 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Anaerococcus hydrogenalis DSM 7454 draft (52 frags)												
Human papillomavirus type 6 complete genome isolate 74												
Escherichia coli TW09195 draft (1288 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus uberis 0140J chromosome				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-355 draft (227 frags)												Secondary
Escherichia coli O91:H14 str. 06-3691 draft (108 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWH051 draft (22 frags)												
Escherichia coli 2-210-07_S1_C2 draft (197 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli 113302 draft (345 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridium diolis DSM 15410 draft (175 frags)												
Staphylococcus epidermidis AU12-03 draft (50 frags)												
Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO draft (168 frags)												
Klebsiella pneumoniae LCT-KP182 draft (23 frags)												
Human papillomavirus type 6 complete genome isolate 22												
Escherichia coli ATCC 25922 plasmid 												
Escherichia coli C458_10 draft (360 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 20 (4-5865042) draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020048503 draft (2 frags)												
Escherichia coli PA33 draft (596 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
